ステップ数,時間ステップ,密度rho,温度T,圧力P,マッハ数M
273.0,0.01041657838891433,0.688683500699099,0.8350173038503412,0.5750626399599762,1.0304039139947376
274.0,0.010415616727044283,0.6881203293737979,0.8347216463333339,0.5743889342103325,1.0300673751598968
275.0,0.010414874676084061,0.6875476987478831,0.8344211834320474,0.5737043644551895,1.0297267862646493
276.0,0.010414347999510791,0.6869662970393084,0.8341162558625295,0.5730097555901742,1.0293829877164886
277.0,0.010414027750667612,0.6863770083537128,0.833807300425604,0.5723061604096116,1.0290370299726939
278.0,0.010413900544292478,0.6857808784347238,0.8334948334876771,0.571594819079983,1.028690130659176
279.0,0.010413960787953416,0.6851790780825947,0.8331794332467629,0.5708771159493957,1.0283436301113618
280.0,0.010414200407319236,0.6845728668075258,0.8328617220770024,0.5701545367365063,1.0279989475313318
281.0,0.010414604734972195,0.6839635575649924,0.8325423493518832,0.5694286270862308,1.0276575388902236
282.0,0.010415178601077015,0.6833524818163341,0.8322219743145209,0.5687009515699174,1.0273208567724217
283.0,0.010415948965799095,0.682740957197841,0.8319012501630587,0.5679730558304072,1.026990313973359
284.0,0.01041693969620622,0.6821302602319678,0.8315808106088133,0.5672464347445005,1.0266672525358598
